NutrientID,NutrientSymbol,NutrientUnit,NutrientName
430,VITK,µg,VITAMIN K
431,FOAC,µg,FOLIC ACID
806,FOLN,µg,NATURALLY OCCURRING FOLATE
815,DFE,µg,DIETARY FOLATE EQUIVALENTS
863,BETN,mg,BETAINE
501,TRP,g,TRYPTOPHAN
502,THR,g,THREONINE
503,ISO,g,ISOLEUCINE
504,LEU,g,LEUCINE
505,LYS,g,LYSINE
506,MET,g,METHIONINE
507,CYS,g,CYSTINE
508,PHE,g,PHENYLALANINE
509,TYR,g,TYROSINE
510,VAL,g,VALINE
511,ARG,g,ARGININE
512,HIS,g,HISTIDINE
513,ALA,g,ALANINE
514,ASP,g,ASPARTIC ACID
515,GLU,g,GLUTAMIC ACID
516,GLY,g,GLYCINE
517,PRO,g,PROLINE
518,SER,g,SERINE
828,HYP,g,HYDROXYPROLINE
550,ASPA,mg,ASPARTAME
875,ATMG-A,mg,"ALPHA-TOCOPHEROL, ADDED"
874,B12-A,µg,"VITAMIN B12, ADDED"
601,CHOL,mg,CHOLESTEROL
605,TRFA,g,"FATTY ACIDS, TRANS, TOTAL"
606,TSAT,g,"FATTY ACIDS, SATURATED, TOTAL"
607,4:0,g,"FATTY ACIDS, SATURATED, 4:0, BUTANOIC"
608,6:0,g,"FATTY ACIDS, SATURATED, 6:0, HEXANOIC"
609,8:0,g,"FATTY ACIDS, SATURATED, 8:0, OCTANOIC"
610,10:0,g,"FATTY ACIDS, SATURATED, 10:0, DECANOIC"
611,12:0,g,"FATTY ACIDS, SATURATED, 12:0, DODECANOIC"
612,14:0,g,"FATTY ACIDS, SATURATED, 14:0, TETRADECANOIC"
613,16:0,g,"FATTY ACIDS, SATURATED, 16:0, HEXADECANOIC"
614,18:0,g,"FATTY ACIDS, SATURATED, 18:0, OCTADECANOIC"
615,20:0,g,"FATTY ACIDS, SATURATED, 20:0, EICOSANOIC"
617,18:1undiff,g,"FATTY ACIDS, MONOUNSATURATED, 18:1undifferentiated, OCTADECENOIC"
618,18:2undiff,g,"FATTY ACIDS, POLYUNSATURATED, 18:2undifferentiated, LINOLEIC, OCTADECADIENOIC"
619,18:3undiff,g,"FATTY ACIDS, POLYUNSATURATED, 18:3undifferentiated, LINOLENIC, OCTADECATRIENOIC"
620,20:4undiff,g,"FATTY ACIDS, POLYUNSATURATED, 20:4, EICOSATETRAENOIC"
621,22:6n-3DHA,g,"FATTY ACIDS, POLYUNSATURATED, 22:6 n-3, DOCOSAHEXAENOIC (DHA)"
624,22:0,g,"FATTY ACIDS, SATURATED, 22:0, DOCOSANOIC"
625,14:1,g,"FATTY ACIDS, MONOUNSATURATED, 14:1, TETRADECENOIC"
626,16:1undiff,g,"FATTY ACIDS, MONOUNSATURATED, 16:1undifferentiated, HEXADECENOIC"
627,18:4,g,"FATTY ACIDS, POLYUNSATURATED, 18:4, OCTADECATETRAENOIC"
628,20:1,g,"FATTY ACIDS, MONOUNSATURATED, 20:1, EICOSENOIC"
629,20:5n-3EPA,g,"FATTY ACIDS, POLYUNSATURATED, 20:5 n-3, EICOSAPENTAENOIC (EPA)"
630,22:1undiff,g,"FATTY ACIDS, MONOUNSATURATED, 22:1undifferentiated, DOCOSENOIC"
631,22:5n-3DPA,g,"FATTY ACIDS, POLYUNSATURATED, 22:5 n-3, DOCOSAPENTAENOIC (DPA)"
636,TPST,mg,TOTAL PLANT STEROL
638,STIG,mg,STIGMASTEROL
866,CAMSTR,mg,CAMPESTEROL
816,SITSTR,mg,BETA-SITOSTEROL
645,MUFA,g,"FATTY ACIDS, MONOUNSATURATED, TOTAL"
646,PUFA,g,"FATTY ACIDS, POLYUNSATURATED, TOTAL"
652,15:0,g,"FATTY ACIDS, SATURATED, 15:0, PENTADECANOIC"
653,17:0,g,"FATTY ACIDS, SATURATED, 17:0, HEPTADECANOIC"
654,24:0,g,"FATTY ACIDS, SATURATED, 24:0, TETRACOSANOIC"
817,16:1t,g,"FATTY ACIDS, MONOUNSATURATED, 16:1t, HEXADECENOIC"
818,18:1t,g,"FATTY ACIDS, MONOUNSATURATED, 18:1t, OCTADECENOIC"
852,22:1t,g,"FATTY ACIDS, MONOUNSATURATED, 22:1t, DOCOSENOIC"
819,18:2i,g,"FATTY ACIDS, POLYUNSATURATED, 18:2i, LINOLEIC, OCTADECADIENOIC"
853,"18:2t,t",g,"FATTY ACIDS, POLYUNSATURATED, 18:2t,t , OCTADECADIENENOIC"
838,18:2cla,g,"FATTY ACIDS, POLYUNSATURATED, CONJUGATED, 18:2 cla, LINOLEIC, OCTADECADIENOIC"
820,24:1c,g,"FATTY ACIDS, MONOUNSATURATED, 24:1c, TETRACOSENOIC"
823,20:2cc,g,"FATTY ACIDS, POLYUNSATURATED, 20:2 c,c  EICOSADIENOIC"
821,16:1c,g,"FATTY ACIDS, MONOUNSATURATED, 16:1c, HEXADECENOIC"
824,18:1c,g,"FATTY ACIDS, MONOUNSATURATED, 18:1c, OCTADECENOIC"
825,18:2ccn-6,g,"FATTY ACIDS, POLYUNSATURATED, 18:2 c,c n-6,  LINOLEIC, OCTADECADIENOIC"
840,22:1c,g,"FATTY ACIDS, MONOUNSATURATED, 22:1c, DOCOSENOIC"
832,18:3cccn-6,g,"FATTY ACIDS, POLYUNSATURATED, 18:3 c,c,c n-6, g-LINOLENIC, OCTADECATRIENOIC"
826,17:1,g,"FATTY ACIDS, MONOUNSATURATED, 17:1, HEPTADECENOIC"
827,20:3undiff,g,"FATTY ACIDS, POLYUNSATURATED, 20:3, EICOSATRIENOIC"
829,TRMO,g,"FATTY ACIDS, TOTAL TRANS-MONOENOIC"
859,TRPO,g,"FATTY ACIDS, TOTAL TRANS-POLYENOIC"
830,13:0,g,"FATTY ACIDS, SATURATED, 13:0 TRIDECANOIC"
833,15:1,g,"FATTY ACIDS, MONOUNSATURATED, 15:1, PENTADECENOIC"
802,TMOS,g,TOTAL MONOSACCARIDES
803,TDIS,g,TOTAL DISACCHARIDES
831,18:3cccn-3,g,"FATTY ACIDS, POLYUNSATURATED, 18:3 c,c,c n-3  LINOLENIC, OCTADECATRIENOIC"
861,20:3n-3,g,"FATTY ACIDS, POLYUNSATURATED, 20:3 n-3 EICOSATRIENOIC"
854,20:3n-6,g,"FATTY ACIDS, POLYUNSATURATED, 20:3 n-6, EICOSATRIENOIC"
855,20:4n-6,g,"FATTY ACIDS, POLYUNSATURATED, 20:4 n-6, ARACHIDONIC"
841,18:3i,g,"FATTY ACIDS, POLYUNSATURATED, 18:3i, LINOLENIC, OCTADECATRIENOIC"
843,21:5,g,"FATTY ACIDS, POLYUNSATURATED, 21:5"
845,22:4n-6,g,"FATTY ACIDS, POLYUNSATURATED, 22:4 n-6, DOCOSATETRAENOIC"
846,24:1undiff,g,"FATTY ACIDS, MONOUNSATURATED,  24:1undifferentiated, TETRACOSENOIC"
847,12:1,g,"FATTY ACIDS, MONOUNSATURATED, 12:1, LAUROLEIC"
848,22:3,g,"FATTY ACIDS, POLYUNSATURATED, 22:3,"
849,22:2,g,"FATTY ACIDS, POLYUNSATURATED, 22:2, DOCOSADIENOIC"
868,TOmega n-3,g,"FATTY ACIDS, POLYUNSATURATED, TOTAL OMEGA  N-3"
869,TOmega n-6,g,"FATTY ACIDS, POLYUNSATURATED, TOTAL OMEGA   N-6"
