FoodID,NutrientID,NutrientValue,NutrientSourceID,NutrientDateOfEntry
5,221,0,12,2004-09-13
5,255,81.01,0,2013-05-22
5,262,0,12,2004-09-13
5,263,0,12,2004-09-13
5,268,355,4,2015-04-28
5,269,1.74,0,2013-05-22
5,287,0,0,2013-05-22
5,291,1,0,2013-05-22
5,301,21,0,2013-05-22
5,303,0.67,0,2013-05-22
5,304,11,0,2013-05-22
5,305,54,0,2013-05-22
5,306,124,0,2013-05-22
5,307,311,0,2013-05-22
5,309,0.32,0,2013-05-22
5,312,0.029,0,2013-05-22
5,315,0.099,0,2013-05-22
5,317,6.1,0,2013-05-22
5,319,1,0,2013-05-22
5,321,166,0,2013-05-22
5,323,0.43,0,2013-05-22
5,324,1,102,2010-04-16
5,339,0,102,2010-04-16
5,401,2,0,2013-05-22
5,404,0.031,0,2013-05-22
5,405,0.023,0,2013-05-22
5,406,1.468,0,2013-05-22
5,409,2.851,4,2013-05-22
5,410,0.26,0,2013-05-22
5,415,0.175,0,2013-05-22
5,417,27,102,2010-04-16
5,418,0.07,0,2013-05-22
5,430,22,0,2013-05-22
5,431,7,102,2010-04-16
5,501,0.083,0,2013-05-22
5,502,0.268,0,2013-05-22
5,503,0.28,0,2013-05-22
5,504,0.502,0,2013-05-22
5,505,0.475,0,2013-05-22
5,506,0.163,0,2013-05-22
5,507,0.077,0,2013-05-22
5,508,0.252,0,2013-05-22
5,509,0.218,0,2013-05-22
5,510,0.307,0,2013-05-22
5,511,0.424,0,2013-05-22
5,512,0.184,0,2013-05-22
5,513,0.356,0,2013-05-22
5,514,0.604,0,2013-05-22
5,515,1.38,0,2013-05-22
5,516,0.237,0,2013-05-22
5,517,0.355,0,2013-05-22
5,518,0.252,0,2013-05-22
5,601,16,0,2013-05-22
5,605,0.017,0,2013-05-22
5,606,0.49,0,2013-05-22
5,607,0.003,0,2013-05-22
5,608,0,0,2013-05-22
5,609,0.001,0,2013-05-22
5,610,0.002,0,2013-05-22
5,611,0.001,0,2013-05-22
5,612,0.007,0,2013-05-22
5,613,0.347,0,2013-05-22
5,614,0.11,0,2013-05-22
5,615,0.006,0,2013-05-22
5,617,0.569,0,2013-05-22
5,618,1.066,0,2013-05-22
5,619,0.129,0,2013-05-22
5,620,0.016,0,2013-05-22
5,621,0,12,2009-07-14
5,624,0.006,0,2013-05-22
5,625,0.001,0,2013-05-22
5,626,0.03,0,2013-05-22
5,627,0,0,2013-05-22
5,628,0.01,0,2013-05-22
5,629,0.002,0,2013-05-22
5,630,0.001,0,2013-05-22
5,631,0,12,2009-07-14
5,645,0.613,0,2013-05-22
5,646,1.226,0,2013-05-22
5,652,0.001,0,2013-05-22
5,653,0.003,0,2013-05-22
5,654,0.003,0,2013-05-22
5,806,21,102,2010-04-16
5,810,3.99,0,2013-05-22
5,811,0.03,0,2013-05-22
5,812,0.93,0,2013-05-22
5,813,0.25,0,2013-05-22
5,814,19,0,2013-05-22
5,815,32,2,2010-04-16
5,817,0,0,2013-05-22
5,818,0.009,0,2013-05-22
5,819,0.007,0,2013-05-22
5,820,0.001,0,2013-05-22
5,821,0.029,0,2013-05-22
5,823,0,12,2010-04-16
5,824,0.56,0,2013-05-22
5,825,1.057,0,2013-05-22
5,826,0.003,0,2013-05-22
5,832,0,12,2009-07-14
5,834,99,0,2013-05-22
5,835,1,0,2013-05-22
5,836,0,0,2013-05-22
5,837,66,0,2013-05-22
5,838,0.002,0,2013-05-22
5,840,0,12,2010-04-16
5,852,0,12,2010-04-16
5,862,24,0,2013-05-22
5,863,0.8,0,2013-05-22
6,203,8.55,102,2010-05-14
6,204,21.24,102,2010-05-14
6,205,38.62,102,2010-05-14
6,207,2.27,102,2010-05-14
6,208,374,102,2010-05-14
6,210,0.956,102,2010-05-26
6,211,0.2829,102,2010-05-26
6,212,0.174,102,2010-05-26
6,213,0.963,102,2010-05-26
6,214,0.271,102,2010-05-26
6,221,0,102,1997-05-01
6,255,29.42,102,2010-05-14
6,262,0,102,1997-05-01
6,263,0,102,2004-10-05
6,268,1564,2,2010-05-14
6,269,2.85,102,2010-05-26
6,287,0.2,102,2010-05-26
6,291,2,102,2010-05-14
6,301,74,102,2010-05-14
6,303,2.5,102,2010-05-14
6,304,22,102,2010-05-14
6,305,122,102,2010-05-14
6,306,154,102,2010-05-14
6,307,441,102,2010-05-14
6,309,0.84,102,2010-05-14
6,312,0.101,102,2010-05-14
6,315,0.261,102,2010-05-14
6,317,26.1,102,2010-05-14
6,319,46,102,2010-05-14
6,321,16,102,2010-05-14
6,323,0.58,102,2010-05-26
6,324,21,102,2010-05-14
6,339,0.5,102,2010-05-14
6,401,0.3,102,2010-05-14
6,404,0.223,102,2010-05-14
6,405,0.261,102,2010-05-14
6,406,2.247,102,2010-05-14
6,409,4.03,4,2010-05-26
6,410,0.814,102,2010-05-14
6,415,0.062,102,2010-05-14
6,417,81,102,2010-05-14
6,418,0.319,102,2010-05-14
6,430,0.9,102,2010-05-26
6,431,45,102,2010-05-14
6,501,0.107,102,2010-05-26
6,502,0.271,102,2010-05-26
6,503,0.335,102,2010-05-26
6,504,0.764,102,2010-05-26
6,505,0.433,102,2010-05-26
6,506,0.192,102,2010-05-26
6,507,0.146,102,2010-05-26
6,508,0.478,102,2010-05-26
6,509,0.324,102,2010-05-26
6,510,0.411,102,2010-05-26
6,511,0.399,102,2010-05-26
6,512,0.214,102,2010-05-26
6,513,0.419,102,2010-05-26
6,514,0.523,102,2010-05-26
6,515,2.504,102,2010-05-26
6,516,0.269,102,2010-05-26
6,517,0.943,102,2010-05-26
6,518,0.478,102,2010-05-26
6,550,0,102,1997-05-01
6,601,61,102,2010-05-26
6,605,3.013,102,2010-05-26
6,606,5.455,102,2010-05-26
6,609,0,102,2010-05-26
6,610,0.003,102,2010-05-26
6,611,0.01,102,2010-05-26
6,612,0.082,102,2010-05-26
6,613,3.276,102,2010-05-26
6,614,1.92,102,2010-05-26
6,617,8.46,102,2010-05-26
6,618,5.156,102,2010-05-26
6,619,0.353,102,2010-05-26
6,620,0.026,102,2010-05-26
6,621,0.012,102,2010-05-26
6,626,0.064,102,2010-05-26
6,629,0.001,102,2010-05-26
6,630,0,102,2010-05-26
6,631,0.002,102,2010-05-26
6,636,1,8,1997-05-01
6,645,8.543,102,2010-05-26
6,646,5.564,102,2010-05-26
6,806,35,102,2010-05-14
6,814,50,102,2010-05-14
6,815,112,2,2010-05-14
6,832,0.004,102,2010-05-26
6,837,150,102,2012-05-31
13,203,0,0,2009-07-02
13,204,0,0,2009-07-02
13,205,0.93,0,2009-07-02
13,207,0.17,0,2009-07-02
13,208,22,0,2010-05-21
13,210,0,0,2006-10-03
13,211,0.1,0,2006-10-03
13,212,0.3,0,2006-10-03
13,213,0,0,2006-10-03
13,214,0,0,2006-10-03
13,221,0,8,1997-05-01
13,255,93.81,0,2009-07-02
13,260,0,12,2012-11-04
13,261,0,12,2012-11-04
13,262,0,12,2004-09-14
13,263,0,12,2004-09-14
13,268,90,0,2009-07-02
13,269,0.4,0,2006-10-03
13,287,0,0,2006-10-03
13,291,0,0,2004-01-19
13,301,7,0,2009-07-02
13,303,0.2,0,2009-07-02
13,304,5,0,2009-07-02
13,305,8,0,2009-07-02
13,306,73,0,2009-07-02
13,307,5,0,2009-07-02
13,309,0.04,0,2009-07-02
13,312,0.008,0,2009-07-02
13,315,0.249,0,2010-05-12
13,317,0.1,0,2001-02-22
13,319,0,0,2002-11-13
13,321,0,4,2002-11-13
13,323,0,12,2005-11-30
13,324,0,0,2010-03-25
13,339,0,0,2010-03-25
13,401,0,0,2009-07-02
13,404,0,0,2009-07-02
13,405,0,0,2009-07-02
13,406,0,0,2009-07-02
13,409,0,4,1997-05-01
13,410,0,0,1997-05-01
13,415,0,0,2009-07-02
13,417,0,0,2009-07-02
13,418,0,0,1997-05-01
13,431,0,0,2002-08-23
13,501,0,12,1999-07-13
13,502,0,12,1999-07-13
13,503,0,12,1999-07-13
13,504,0,12,1999-07-13
13,505,0,12,1999-07-13
13,506,0,12,1999-07-13
13,507,0,12,1999-07-13
13,508,0,12,1999-07-13
13,509,0,12,1999-07-13
13,510,0,12,1999-07-13
13,511,0,12,1999-07-13
13,512,0,12,1999-07-21
13,513,0,12,1999-07-21
13,514,0,12,1999-07-21
13,515,0,12,1999-07-21
13,516,0,12,1999-07-21
13,517,0,12,1999-07-21
13,518,0,12,1999-07-21
13,601,0,12,1997-05-01
13,605,0,12,1999-07-22
13,606,0,12,1997-05-01
13,607,0,12,1999-07-22
13,608,0,12,1999-07-22
13,609,0,12,1999-07-22
13,610,0,12,1999-07-22
13,611,0,12,1999-07-22
13,612,0,12,1999-07-22
13,613,0,12,1999-07-22
13,614,0,12,1999-07-22
13,615,0,12,1999-07-22
13,617,0,12,1999-07-22
13,618,0,12,1999-07-22
13,619,0,12,1999-07-22
13,620,0,12,1999-07-22
13,621,0,12,1999-07-22
13,624,0,12,1999-07-22
13,625,0,12,1999-07-22
13,626,0,12,1999-07-22
13,627,0,12,1999-07-22
13,628,0,12,1999-07-22
13,629,0,12,1999-07-22
13,630,0,12,1999-07-22
13,631,0,12,1999-07-22
13,636,0,12,2008-07-11
13,638,0,12,2008-07-11
13,645,0,12,1997-05-01
13,646,0,12,1997-05-01
13,652,0,12,1999-07-22
13,653,0,12,1999-07-22
13,654,0,12,1999-07-22
13,806,0,0,2002-08-23
13,810,0,12,2012-11-04
13,814,0,4,2004-01-07
13,815,0,0,2005-01-17
13,816,0,12,2008-09-19
13,817,0,12,2008-07-11
13,818,0,12,2008-07-11
13,819,0,12,2008-07-11
13,820,0,12,2008-07-11
13,821,0,12,2008-07-11
13,823,0,12,2008-07-11
13,824,0,12,2008-07-11
13,825,0,12,2008-07-11
13,826,0,12,2008-07-11
13,828,0,12,2008-06-16
13,832,0,12,2008-07-11
13,838,0,12,2008-07-11
13,840,0,12,2008-07-11
13,852,0,12,2008-07-11
13,853,0,12,2009-03-26
13,866,0,12,2009-03-26
